Latitude,Accommodates,Bathrooms,Bedrooms,Beds,Guests Included,Extra People,Availability 30,Cleaning Fee,Name_Len,Space_Len,Description_Len,is_Thumbnail,is_HostAbout,is_ResponseInHours,is_EntireHome,Price
40.41010608050749,2,1.0,1.0,1.0,1,0,1,0.0,34,488,1000,True,True,False,False,36.0
40.416968822636726,2,1.0,1.0,1.0,1,0,12,30.0,32,1000,1000,True,True,False,True,85.0
40.40970517560235,2,1.0,1.0,1.0,1,10,7,0.0,27,469,479,True,True,False,False,20.0
40.42319271738103,4,1.0,1.0,2.0,2,5,7,15.0,35,1000,1000,True,True,True,True,112.0
40.416513932601625,8,3.0,3.0,4.0,6,40,6,20.0,33,939,1000,True,True,True,True,190.0
40.416833945573366,2,2.0,1.0,1.0,1,5,6,15.0,24,187,923,True,True,True,False,30.0
40.41394547020656,1,1.0,1.0,1.0,1,0,0,15.0,24,129,991,True,True,True,False,18.0
40.40924754500767,2,1.0,1.0,1.0,1,10,12,12.0,29,0,1000,True,True,True,False,38.0
40.41200073894989,2,1.0,1.0,1.0,1,0,1,20.0,32,0,237,True,False,True,True,71.0
40.40994868119749,2,1.0,0.0,1.0,1,0,4,0.0,34,145,899,True,False,True,True,48.0
40.41085393918086,3,1.0,0.0,2.0,1,0,3,0.0,41,158,1000,True,False,True,True,60.0
40.40812372278415,2,1.0,0.0,1.0,1,0,1,0.0,33,0,320,True,False,True,True,45.0
40.40608534102548,2,1.0,1.0,1.0,1,0,17,5.0,42,0,1000,True,True,True,False,40.0
40.40798451483423,2,1.0,1.0,1.0,1,15,26,10.0,22,126,556,True,False,True,False,28.0
40.407535732355946,2,1.0,1.0,1.0,1,0,13,10.0,46,371,1000,True,True,True,False,40.0
40.41314383662625,6,1.0,2.0,3.0,6,30,6,40.0,28,53,969,True,True,True,True,120.0
40.409879727360206,4,1.0,0.0,2.0,2,8,7,20.0,35,0,100,False,True,True,True,50.0
40.407754805653774,4,1.5,1.0,2.0,1,15,0,5.0,39,143,1000,True,False,False,False,27.0
40.40847055747343,2,1.0,1.0,1.0,1,0,0,0.0,47,0,215,True,True,True,True,63.0
40.41049832378156,7,2.0,3.0,5.0,1,0,4,90.0,49,333,1000,True,True,True,True,160.0
40.41147696872595,4,1.0,1.0,1.0,2,10,9,24.0,50,459,1000,True,True,True,True,70.0
40.41014385068157,4,1.0,2.0,4.0,1,0,5,20.0,29,0,63,True,True,True,True,49.0
40.41035914847885,2,1.0,1.0,2.0,1,0,24,0.0,50,0,453,True,False,True,False,43.0
40.40687563641772,7,1.0,3.0,5.0,1,0,7,25.0,26,420,999,True,False,True,True,125.0
40.411351075392105,8,3.0,3.0,5.0,6,20,9,80.0,47,1000,1000,True,True,True,True,210.0
40.40970911543494,2,1.5,1.0,1.0,1,0,7,30.0,27,48,867,False,False,False,True,89.0
40.41267088993981,3,1.0,1.0,2.0,2,9,1,40.0,32,1000,1000,True,True,True,True,75.0
40.40670359723186,2,1.0,1.0,1.0,1,0,6,30.0,33,352,352,False,True,True,True,59.0
40.40564838324708,1,1.0,1.0,1.0,1,0,0,0.0,25,0,241,False,True,False,True,27.0
